Unnamed: 0,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,year,month,day,acq_time_str,hours,minutes,season,region_cluster,cluster_fire_count,monthly_cluster_fire_count,brightness_diff,high_risk,frp_category
632662,25.23,83.8391,331.7,1.6,1.3,2024-04-19,754,1,MODIS,63,61.03,312.7,20.0,1,0,2024,4,19,754,7,54,2,12,49232,12010,19.0,0,Medium
578558,20.9663,85.1823,306.3,1.2,1.1,2023-10-27,2039,1,MODIS,68,61.03,295.3,8.8,0,2,2023,10,27,2039,20,39,4,1,73921,2278,11.0,0,Low
243261,23.7015,86.0734,322.9,1.1,1.0,2019-11-11,506,0,MODIS,68,6.03,301.7,15.7,1,2,2019,11,11,506,5,6,4,12,49232,3375,21.19999999999999,0,Medium
275687,24.74,79.2848,336.5,1.0,1.0,2020-04-08,525,0,MODIS,81,6.03,312.1,19.9,1,0,2020,4,8,525,5,25,2,5,47348,16741,24.399999999999977,0,Medium
353109,15.354,79.1832,330.1,1.0,1.0,2021-03-14,807,1,MODIS,61,6.03,309.6,14.2,1,0,2021,3,14,807,8,7,2,14,36148,12659,20.5,0,Medium
226462,31.0241,76.6232,334.8,1.1,1.0,2019-05-22,536,0,MODIS,80,6.03,317.8,15.1,1,0,2019,5,22,536,5,36,2,0,167610,31628,17.0,0,Medium
598569,24.0786,69.6108,315.7,1.2,1.1,2024-01-13,521,0,MODIS,71,61.03,299.7,10.0,1,0,2024,1,13,521,5,21,1,10,21095,2544,16.0,0,Low
597492,23.7458,75.6333,306.7,1.2,1.1,2024-01-06,831,1,MODIS,41,61.03,295.6,6.8,1,0,2024,1,6,831,8,31,1,4,76528,1502,11.099999999999966,0,Low
698362,22.3074,76.2572,331.2,1.6,1.2,2025-03-13,933,1,MODIS,49,61.03,311.9,29.2,1,0,2025,3,13,933,9,33,2,4,76528,13167,19.30000000000001,0,Medium
571880,19.3945,80.9062,334.2,1.0,1.0,2023-05-20,809,1,MODIS,80,61.03,308.5,22.0,1,0,2023,5,20,809,8,9,2,13,47964,4838,25.69999999999999,0,Medium
670223,23.6855,87.1195,312.0,1.0,1.0,2024-12-29,827,1,MODIS,59,61.03,300.5,5.7,1,2,2024,12,29,827,8,27,1,12,49232,8420,11.5,0,Low
664354,20.8379,81.7314,306.3,1.0,1.0,2024-12-03,416,0,MODIS,47,61.03,289.6,4.1,1,0,2024,12,3,416,4,16,1,1,73921,11178,16.69999999999999,0,Low
308460,30.2995,74.2016,315.5,1.0,1.0,2020-11-05,554,0,MODIS,64,6.03,298.5,9.1,1,0,2020,11,5,554,5,54,4,0,167610,73042,17.0,0,Low
129296,19.4493,78.1089,337.6,1.2,1.1,2018-04-05,822,1,MODIS,73,6.03,319.5,12.3,1,0,2018,4,5,822,8,22,2,9,27481,3504,18.100000000000023,0,Medium
685407,26.736,95.0953,315.9,1.7,1.3,2025-02-24,815,1,MODIS,72,61.03,291.4,25.2,1,0,2025,2,24,815,8,15,1,11,41370,5791,24.5,0,Medium
529634,16.1048,78.6476,331.0,1.1,1.0,2023-02-16,813,1,MODIS,72,61.03,314.3,18.6,1,0,2023,2,16,813,8,13,1,14,36148,10539,16.69999999999999,0,Medium
17565,17.7187,80.2333,335.2,1.0,1.0,2017-03-12,802,1,MODIS,64,6.2,313.5,15.0,1,0,2017,3,12,802,8,2,2,13,47964,18871,21.69999999999999,0,Medium
